Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,1.010000,1.060000,1.000000,1.030000,1.030000,112600
2019-06-06,1.040000,1.040000,0.990000,1.000000,1.000000,166400
2019-06-07,1.000000,1.010000,0.950000,0.950000,0.950000,221300
2019-06-10,0.970000,0.970000,0.850000,0.870000,0.870000,447600
2019-06-11,0.900000,0.950000,0.850000,0.870000,0.870000,248000
2019-06-12,0.870000,0.900000,0.810000,0.880000,0.880000,219700
2019-06-13,0.860000,1.000000,0.830000,0.990000,0.990000,236500
2019-06-14,0.990000,1.020000,0.970000,1.000000,1.000000,167600
2019-06-17,1.020000,1.020000,0.930000,0.950000,0.950000,128000
2019-06-18,0.970000,1.000000,0.930000,1.000000,1.000000,97400
2019-06-19,1.010000,1.020000,0.970000,1.000000,1.000000,134200
2019-06-20,1.020000,1.020000,0.900000,0.930000,0.930000,259200
2019-06-21,0.940000,0.980000,0.870000,0.870000,0.870000,270600
2019-06-24,0.920000,0.970000,0.900000,0.920000,0.920000,154600
2019-06-25,0.920000,0.920000,0.870000,0.880000,0.880000,117200
2019-06-26,0.900000,0.940000,0.870000,0.870000,0.870000,192400
2019-06-27,0.880000,0.910000,0.830000,0.840000,0.840000,230200
2019-06-28,0.850000,0.910000,0.810000,0.850000,0.850000,2586000
2019-07-01,0.860000,0.900000,0.830000,0.850000,0.850000,136200
2019-07-02,0.860000,0.880000,0.810000,0.820000,0.820000,128900
2019-07-03,0.840000,0.870000,0.820000,0.870000,0.870000,97800
2019-07-05,0.870000,0.900000,0.820000,0.870000,0.870000,143400
2019-07-08,0.900000,0.920000,0.850000,0.870000,0.870000,114000
2019-07-09,0.890000,0.910000,0.840000,0.840000,0.840000,192400
2019-07-10,0.860000,0.900000,0.840000,0.840000,0.840000,85600
2019-07-11,0.850000,0.870000,0.820000,0.840000,0.840000,86800
2019-07-12,0.850000,1.100000,0.830000,1.050000,1.050000,947500
2019-07-15,1.090000,1.280000,1.040000,1.080000,1.080000,1674100
2019-07-16,1.080000,1.120000,0.950000,1.010000,1.010000,629100
2019-07-17,1.020000,1.090000,0.980000,1.010000,1.010000,493100
2019-07-18,1.010000,1.070000,0.900000,0.940000,0.940000,379400
2019-07-19,0.950000,1.000000,0.900000,0.910000,0.910000,145400
2019-07-22,0.930000,0.980000,0.850000,0.880000,0.880000,283100
2019-07-23,0.920000,0.920000,0.850000,0.880000,0.880000,172400
2019-07-24,0.840000,0.910000,0.830000,0.870000,0.870000,205100
2019-07-25,0.870000,0.900000,0.850000,0.870000,0.870000,125800
2019-07-26,0.840000,0.900000,0.840000,0.860000,0.860000,156600
2019-07-29,0.870000,0.930000,0.860000,0.900000,0.900000,256200
2019-07-30,0.910000,0.960000,0.880000,0.920000,0.920000,226900
2019-07-31,0.950000,0.950000,0.900000,0.900000,0.900000,252300
2019-08-01,0.900000,0.970000,0.880000,0.880000,0.880000,153100
2019-08-02,0.910000,0.910000,0.840000,0.850000,0.850000,281800
2019-08-05,0.850000,0.890000,0.830000,0.830000,0.830000,137200
2019-08-06,0.830000,0.840000,0.740000,0.790000,0.790000,558300
2019-08-07,0.770000,0.880000,0.770000,0.840000,0.840000,369000
2019-08-08,0.850000,0.870000,0.790000,0.830000,0.830000,163000
2019-08-09,0.850000,0.850000,0.720000,0.740000,0.740000,482900
2019-08-12,0.720000,0.770000,0.600000,0.720000,0.720000,432200
2019-08-13,0.720000,0.770000,0.680000,0.710000,0.710000,290000
2019-08-14,0.660000,0.700000,0.620000,0.620000,0.620000,384900
2019-08-15,0.650000,0.700000,0.630000,0.660000,0.660000,102400
